activityId,user,date,time,riskScore,integration,policiesBreached,values,status,managerAction
"01JHH7WX757VNT54JRTZ4RQ6RN",isabella.hill@zenith.com,09/01/2025,17:00,1820,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""phi"":[""emailContainedPHI""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""jessica.wright@gmail.com""]}",nonConcern,
"01JHH7WX6RNMZX5YJ0XN2JJVZF",ava.walker@zenith.com,09/01/2025,16:00,1940,si-email,"{""financial"":[""emailContainedBankAccountNumbers"",""emailContainedFinancialData""]}","{""destinations"":[""sophia.james@gmail.com""]}",concern,escalated
"01JHH7WX8W4B916W5VTGS1Q22B",noah.davis@zenith.com,09/01/2025,15:45,1960,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""michael.evans@gmail.com""]}",nonConcern,
"01JHH7WXA4Y6XNT1GJ0EEPQ8VW",william.clark@zenith.com,09/01/2025,14:45,1610,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""pci"":[""emailContainedCreditCardNumbers""]}","{""destinations"":[""charlotte.lee@gmail.com""]}",nonConcern,
"01JHH7WX6A2457CB6P0PPDX6X8",alexander.lopez@zenith.com,09/01/2025,14:01,1000,si-cloud,"{""dataLeakage"":[""cloudUploadContainedSpreadsheets""],""financial"":[""cloudUploadContainedFinancialData""],""sensitive"":[""cloudUploadContainedConfidentialData""]}","{""cloudProvider"":""Apple iCloud""}",concern,
"01JHH7WX63QZFXWSQHM3XPPC4F",alexander.lopez@zenith.com,09/01/2025,13:30,1950,si-application,"{""dataLeakage"":[""applicationHighRiskDownload""],""userAtRisk"":[""applicationPerformanceImprovementPlan""],""sensitive"":[""applicationExportedConfidentialData""]}","{""application"":""Oracle""}",concern,
"01JHH7WX8EYPA0ZXGP8TK6CN72",mia.bennett@zenith.com,09/01/2025,12:30,2330,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""phi"":[""emailContainedPHI""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""oliver.hall@gmail.com""]}",trusted,knownGoodActivity
"01JHH7WX80ZY0EF0S49TXMH84K",joshua.wilson@zenith.com,09/01/2025,11:15,1530,si-email,"{""userAtRisk"":[""emailEnhancedMonitoring""],""financial"":[""emailContainedBankAccountNumbers"",""emailContainedFinancialData""]}","{""destinations"":[""emma.thomas@gmail.com""]}",nonConcern,
"01JHH7WX7KC8KT403XNBHKETGB",jackson.murphy@zenith.com,09/01/2025,10:00,1560,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""maria.wilson@gmail.com""]}",concern,employeeCounselled
"01JHH7WX98HR92D0EB7EMGZNTD",olivia.james@zenith.com,09/01/2025,09:00,1880,si-email,"{""phi"":[""emailContainedPHI""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""liam.baker@gmail.com""]}",nonConcern,
"01JHH7WX9NJR2GBWGG7FF1JNGE",sophia.hughes@zenith.com,09/01/2025,08:15,1510,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""david.jones@gmail.com""]}",nonConcern,
"01JHH7WXDT5E1PD5MNQAJMSZ89",mia.wilson@zenith.com,08/01/2025,17:00,2500,si-email,"{""phi"":[""emailContainedPHI""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""noah.davis@gmail.com""]}",nonConcern,
"01JHH7WXCM5HSHX41E0SR6DWA8",james.harris@zenith.com,08/01/2025,16:00,1770,si-email,"{""userAtRisk"":[""emailEnhancedMonitoring""],""financial"":[""emailContainedBankAccountNumbers"",""emailContainedFinancialData""]}","{""destinations"":[""mia.robinson@gmail.com""]}",concern,employeeCounselled
"01JHH7WXE7EBJHSSMA8FM2EFW5",michael.lee@zenith.com,08/01/2025,15:30,1760,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""jackson.harris@gmail.com""]}",nonConcern,
"01JHH7WXEK5Z3SDK4Y1X6BQCMZ",sophia.moore@zenith.com,08/01/2025,14:30,1580,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""pci"":[""emailContainedCreditCardNumbers""]}","{""destinations"":[""ava.lee@gmail.com""]}",nonConcern,
"01JHH7WXC5BPJQ915B9KSW7AMD",isabella.lewis@zenith.com,08/01/2025,13:45,1600,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""phi"":[""emailContainedPHI""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""harper.walker@gmail.com""]}",nonConcern,
"01JHH7WXAR5HV8DEKZAQFKTK4Q",alexander.white@zenith.com,08/01/2025,13:15,1540,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""userAtRisk"":[""emailEnhancedMonitoring""],""pii"":[""emailContainedPII""]}","{""destinations"":[""olivia.scott@gmail.com""]}",nonConcern,
"01JHH7WXDDRAEVK46AN35SS5QZ",logan.brown@zenith.com,08/01/2025,11:15,1690,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""emily.martin@gmail.com""]}",nonConcern,
"01JHH7WXBCS1NS0MGDYKQ30Z1Z",emma.robinson@zenith.com,08/01/2025,11:00,2330,si-email,"{""financial"":[""emailContainedBankAccountNumbers"",""emailContainedFinancialData""]}","{""destinations"":[""amelia.hall@gmail.com""]}",nonConcern,
"01JHH7WXD1RN17FSJNW8MXRE57",liam.adams@zenith.com,08/01/2025,09:45,1580,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""liam.jones@gmail.com""]}",nonConcern,
"01JHH7WXBRBGN3KA5RJH4B3ZP6",ethan.turner@zenith.com,08/01/2025,09:30,2480,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""lucas.wright@gmail.com""]}",nonConcern,
